t              u1              u2
0.584729       0.647831      -0.364503
0.585575       0.648829      -0.364247
0.586421       0.649827      -0.363990
0.587267       0.650825      -0.363733
0.588113       0.651824      -0.363476
0.588958       0.652822      -0.363218
0.589804       0.653820      -0.362960
0.590650       0.654819      -0.362701
0.591496       0.655817      -0.362442
0.592341       0.656815      -0.362183
0.593187       0.657814      -0.361923
0.594033       0.658812      -0.361662
0.594879       0.659810      -0.361402
0.595724       0.660809      -0.361141
0.596570       0.661807      -0.360879
0.597415       0.662805      -0.360617
0.598261       0.663803      -0.360355
0.599107       0.664802      -0.360092
0.599952       0.665800      -0.359829
0.600798       0.666798      -0.359565
0.601643       0.667797      -0.359301
0.602489       0.668795      -0.359037
0.603334       0.669793      -0.358772
0.604180       0.670792      -0.358507
0.605025       0.671790      -0.358242
0.605871       0.672788      -0.357976
0.606716       0.673787      -0.357709
0.607562       0.674785      -0.357442
0.608407       0.675783      -0.357175
0.609253       0.676781      -0.356908
0.610098       0.677780      -0.356640
0.610944       0.678778      -0.356371
0.611789       0.679776      -0.356103
0.612634       0.680775      -0.355834
0.613480       0.681773      -0.355564
0.614325       0.682771      -0.355294
0.615171       0.683770      -0.355024
0.616016       0.684768      -0.354753
0.616861       0.685766      -0.354482
0.617707       0.686765      -0.354210
0.618552       0.687763      -0.353938
0.619398       0.688761      -0.353666
0.620243       0.689760      -0.353393
0.621088       0.690758      -0.353120
0.621934       0.691756      -0.352847
0.622779       0.692754      -0.352573
0.623625       0.693753      -0.352299
0.624470       0.694751      -0.352024
0.625316       0.695749      -0.351749
0.626161       0.696748      -0.351473
0.627006       0.697746      -0.351198
0.627852       0.698744      -0.350921
0.628697       0.699743      -0.350645
0.629543       0.700741      -0.350368
0.630388       0.701739      -0.350090
0.631234       0.702738      -0.349813
0.632079       0.703736      -0.349534
0.632925       0.704734      -0.349256
0.633770       0.705732      -0.348977
0.634616       0.706731      -0.348698
0.635461       0.707729      -0.348418
0.636307       0.708727      -0.348138
0.637153       0.709726      -0.347857
0.637998       0.710724      -0.347576
0.638844       0.711722      -0.347295
0.639689       0.712721      -0.347013
0.640535       0.713719      -0.346731
0.641381       0.714717      -0.346449
0.642227       0.715716      -0.346166
0.643072       0.716714      -0.345883
0.643918       0.717712      -0.345599
0.644764       0.718710      -0.345315
0.645610       0.719709      -0.345031
0.646455       0.720707      -0.344746
0.647301       0.721705      -0.344461
0.648147       0.722704      -0.344176
0.648993       0.723702      -0.343890
0.649839       0.724700      -0.343604
0.650685       0.725699      -0.343317
0.651531       0.726697      -0.343030
0.652377       0.727695      -0.342742
0.653223       0.728694      -0.342455
0.654069       0.729692      -0.342167
0.654915       0.730690      -0.341878
0.655761       0.731688      -0.341589
0.656607       0.732687      -0.341300
0.657454       0.733685      -0.341010
0.658300       0.734683      -0.340720
0.659146       0.735682      -0.340430
0.659992       0.736680      -0.340139
0.660839       0.737678      -0.339848
0.661685       0.738677      -0.339556
0.662532       0.739675      -0.339264
0.663378       0.740673      -0.338972
0.664225       0.741672      -0.338679
0.665071       0.742670      -0.338386
0.665918       0.743668      -0.338093
0.666764       0.744666      -0.337799
0.667611       0.745665      -0.337505
0.668458       0.746663      -0.337210
0.669305       0.747661      -0.336915
0.670151       0.748660      -0.336620
0.670998       0.749658      -0.336324
0.671845       0.750656      -0.336028
0.672692       0.751655      -0.335732
0.673539       0.752653      -0.335435
0.674386       0.753651      -0.335138
0.675233       0.754650      -0.334840
0.676080       0.755648      -0.334542
0.676928       0.756646      -0.334244
0.677775       0.757644      -0.333945
0.678622       0.758643      -0.333646
0.679470       0.759641      -0.333347
0.680317       0.760639      -0.333047
0.681165       0.761638      -0.332747
0.682012       0.762636      -0.332447
0.682860       0.763634      -0.332146
0.683707       0.764633      -0.331844
0.684555       0.765631      -0.331543
0.685403       0.766629      -0.331241
0.686251       0.767627      -0.330938
0.687099       0.768626      -0.330636
0.687947       0.769624      -0.330333
0.688795       0.770622      -0.330029
0.689643       0.771621      -0.329725
0.690491       0.772619      -0.329421
0.691339       0.773617      -0.329117
0.692187       0.774616      -0.328812
0.693036       0.775614      -0.328506
0.693884       0.776612      -0.328201
0.694733       0.777611      -0.327895
0.695581       0.778609      -0.327588
0.696430       0.779607      -0.327282
0.697279       0.780605      -0.326975
0.698127       0.781604      -0.326667
0.698976       0.782602      -0.326359
0.699825       0.783600      -0.326051
0.700674       0.784599      -0.325742
0.701523       0.785597      -0.325433
0.702372       0.786595      -0.325124
0.703222       0.787594      -0.324815
0.704071       0.788592      -0.324504
0.704920       0.789590      -0.324194
0.705770       0.790588      -0.323883
0.706619       0.791587      -0.323572
0.707469       0.792585      -0.323261
0.708319       0.793583      -0.322949
0.709169       0.794582      -0.322637
0.710019       0.795580      -0.322324
0.710868       0.796578      -0.322011
0.711719       0.797577      -0.321698
0.712569       0.798575      -0.321384
0.713419       0.799573      -0.321070
0.714269       0.800571      -0.320756
0.715120       0.801570      -0.320441
0.715970       0.802568      -0.320126
0.716821       0.803566      -0.319811
0.717671       0.804565      -0.319495
0.718522       0.805563      -0.319179
0.719373       0.806561      -0.318862
0.720224       0.807560      -0.318545
0.721075       0.808558      -0.318228
0.721926       0.809556      -0.317910
0.722778       0.810554      -0.317593
0.723629       0.811553      -0.317274
0.724480       0.812551      -0.316956
0.725332       0.813549      -0.316637
0.726184       0.814548      -0.316317
0.727035       0.815546      -0.315997
0.727887       0.816544      -0.315677
0.728739       0.817543      -0.315357
0.729591       0.818541      -0.315036
0.730443       0.819539      -0.314715
0.731296       0.820537      -0.314393
0.732148       0.821536      -0.314071
0.733000       0.822534      -0.313749
0.733853       0.823532      -0.313427
0.734706       0.824531      -0.313104
0.735559       0.825529      -0.312780
0.736411       0.826527      -0.312457
0.737264       0.827525      -0.312133
0.738118       0.828524      -0.311808
0.738971       0.829522      -0.311484
0.739824       0.830520      -0.311158
0.740678       0.831519      -0.310833
0.741531       0.832517      -0.310507
0.742385       0.833515      -0.310181
0.743239       0.834514      -0.309855
0.744093       0.835512      -0.309528
0.744947       0.836510      -0.309200
0.745801       0.837508      -0.308873
0.746655       0.838507      -0.308545
0.747510       0.839505      -0.308217
0.748364       0.840503      -0.307888
0.749219       0.841502      -0.307559
0.750074       0.842500      -0.307230
0.750929       0.843498      -0.306900
0.751784       0.844496      -0.306570
0.752639       0.845495      -0.306240
0.753494       0.846493      -0.305909
0.754350       0.847491      -0.305578
0.755205       0.848490      -0.305246
0.756061       0.849488      -0.304915
0.756917       0.850486      -0.304582
0.757773       0.851484      -0.304250
0.758629       0.852483      -0.303917
0.759485       0.853481      -0.303584
0.760342       0.854479      -0.303250
0.761198       0.855478      -0.302916
0.762055       0.856476      -0.302582
0.762912       0.857474      -0.302248
0.763769       0.858472      -0.301913
0.764626       0.859471      -0.301577
0.765483       0.860469      -0.301242
0.766340       0.861467      -0.300906
0.767198       0.862466      -0.300569
0.768055       0.863464      -0.300233
0.768913       0.864462      -0.299895
0.769771       0.865460      -0.299558
0.770629       0.866459      -0.299220
0.771488       0.867457      -0.298882
0.772346       0.868455      -0.298544
