t              u1             u2             u3
0.172885       1.000000       2.518654       3.000000
0.173218       1.000000       2.519654       3.000000
0.173551       1.000000       2.520653       3.000000
0.173884       1.000000       2.521652       3.000000
0.174217       1.000000       2.522652       3.000000
0.174550       1.000000       2.523651       3.000000
0.174883       1.000000       2.524650       3.000000
0.175217       1.000000       2.525650       3.000000
0.175550       1.000000       2.526649       3.000000
0.175883       1.000000       2.527648       3.000000
0.176216       1.000000       2.528648       3.000000
0.176549       1.000000       2.529647       3.000000
0.176882       1.000000       2.530646       3.000000
0.177215       1.000000       2.531646       3.000000
0.177548       1.000000       2.532645       3.000000
0.177881       1.000000       2.533644       3.000000
0.178215       1.000000       2.534644       3.000000
0.178548       1.000000       2.535643       3.000000
0.178881       1.000000       2.536642       3.000000
0.179214       1.000000       2.537642       3.000000
0.179547       1.000000       2.538641       3.000000
0.179880       1.000000       2.539640       3.000000
0.180213       1.000000       2.540640       3.000000
0.180546       1.000000       2.541639       3.000000
0.180879       1.000000       2.542638       3.000000
0.181213       1.000000       2.543638       3.000000
0.181546       1.000000       2.544637       3.000000
0.181879       1.000000       2.545636       3.000000
0.182212       1.000000       2.546636       3.000000
0.182545       1.000000       2.547635       3.000000
0.182878       1.000000       2.548634       3.000000
0.183211       1.000000       2.549634       3.000000
0.183544       1.000000       2.550633       3.000000
0.183877       1.000000       2.551632       3.000000
0.184211       1.000000       2.552632       3.000000
0.184544       1.000000       2.553631       3.000000
0.184877       1.000000       2.554630       3.000000
0.185210       1.000000       2.555630       3.000000
0.185543       1.000000       2.556629       3.000000
0.185876       1.000000       2.557628       3.000000
0.186209       1.000000       2.558628       3.000000
0.186542       1.000000       2.559627       3.000000
0.186875       1.000000       2.560626       3.000000
0.187209       1.000000       2.561626       3.000000
0.187542       1.000000       2.562625       3.000000
0.187875       1.000000       2.563624       3.000000
0.188208       1.000000       2.564624       3.000000
0.188541       1.000000       2.565623       3.000000
0.188874       1.000000       2.566622       3.000000
0.189207       1.000000       2.567622       3.000000
0.189540       1.000000       2.568621       3.000000
0.189873       1.000000       2.569620       3.000000
0.190207       1.000000       2.570620       3.000000
0.190540       1.000000       2.571619       3.000000
